IndicatorName,CountryName,Date,Value,SourceOfTheData
Inflation Rate Mom,Angola,31/05/2022,0.93,Trading Economics
Inflation Rate Mom,Angola,30/04/2022,1.12,Trading Economics
Inflation Rate Mom,Angola,31/03/2022,1.56,Trading Economics
Inflation Rate Mom,Angola,28/02/2022,1.77,Trading Economics
Inflation Rate Mom,Angola,31/01/2022,2,Trading Economics
Inflation Rate Mom,Angola,31/12/2021,2.1,Trading Economics
Inflation Rate Mom,Angola,30/11/2021,2.08,Trading Economics
Inflation Rate Mom,Angola,31/10/2021,2.06,Trading Economics
Inflation Rate Mom,Angola,30/09/2021,2.18,Trading Economics
Inflation Rate Mom,Angola,31/08/2021,2.13,Trading Economics
Inflation Rate Mom,Angola,31/07/2021,2.1,Trading Economics
Inflation Rate Mom,Angola,30/06/2021,2.05,Trading Economics
Inflation Rate Mom,Angola,31/05/2021,2.03,Trading Economics
Inflation Rate Mom,Angola,30/04/2021,2.09,Trading Economics
Inflation Rate Mom,Angola,31/03/2021,1.78,Trading Economics
Inflation Rate Mom,Angola,28/02/2021,2.07,Trading Economics
Inflation Rate Mom,Angola,31/01/2021,2,Trading Economics
Inflation Rate Mom,Angola,31/12/2020,2.06,Trading Economics
Inflation Rate Mom,Angola,30/11/2020,1.99,Trading Economics
Inflation Rate Mom,Angola,31/10/2020,1.81,Trading Economics
Inflation Rate Mom,Angola,30/09/2020,1.79,Trading Economics
Inflation Rate Mom,Angola,31/08/2020,1.83,Trading Economics
Inflation Rate Mom,Angola,31/07/2020,1.78,Trading Economics
Inflation Rate Mom,Angola,30/06/2020,1.74,Trading Economics
Inflation Rate Mom,Angola,31/05/2020,1.94,Trading Economics
Inflation Rate Mom,Angola,30/04/2020,2.05,Trading Economics
Inflation Rate Mom,Angola,31/03/2020,1.85,Trading Economics
Inflation Rate Mom,Angola,28/02/2020,1.72,Trading Economics
Inflation Rate Mom,Angola,31/01/2020,2.05,Trading Economics
Inflation Rate Mom,Angola,31/12/2019,1.91,Trading Economics
Inflation Rate Mom,Angola,30/11/2019,1.53,Trading Economics
Inflation Rate Mom,Angola,31/10/2019,1.38,Trading Economics
Inflation Rate Mom,Angola,30/09/2019,1.45,Trading Economics
Inflation Rate Mom,Angola,31/08/2019,1.44,Trading Economics
Inflation Rate Mom,Angola,31/07/2019,1.52,Trading Economics
Inflation Rate Mom,Angola,30/06/2019,1.08,Trading Economics
Inflation Rate Mom,Angola,31/05/2019,1.09,Trading Economics
Inflation Rate Mom,Angola,30/04/2019,1.05,Trading Economics
Inflation Rate Mom,Angola,31/03/2019,1.09,Trading Economics
Inflation Rate Mom,Angola,28/02/2019,1.04,Trading Economics
Inflation Rate Mom,Angola,31/01/2019,1.14,Trading Economics
Inflation Rate Mom,Angola,31/12/2018,1.41,Trading Economics
Inflation Rate Mom,Angola,30/11/2018,1.31,Trading Economics
Inflation Rate Mom,Angola,31/10/2018,1.39,Trading Economics
Inflation Rate Mom,Angola,30/09/2018,2.69,Trading Economics
Inflation Rate Mom,Angola,31/08/2018,1.21,Trading Economics
Inflation Rate Mom,Angola,31/07/2018,1.25,Trading Economics
Inflation Rate Mom,Angola,30/06/2018,1.26,Trading Economics
Inflation Rate Mom,Angola,31/05/2018,1.27,Trading Economics
Inflation Rate Mom,Angola,30/04/2018,1.22,Trading Economics
Inflation Rate Mom,Angola,31/03/2018,1.44,Trading Economics
Inflation Rate Mom,Angola,28/02/2018,1.26,Trading Economics
Inflation Rate Mom,Angola,31/01/2018,1.47,Trading Economics
Inflation Rate Mom,Angola,31/12/2017,1.2,Trading Economics
Inflation Rate Mom,Angola,30/11/2017,1.04,Trading Economics
Inflation Rate Mom,Angola,31/10/2017,2.39,Trading Economics
Inflation Rate Mom,Angola,30/09/2017,2.14,Trading Economics
Inflation Rate Mom,Angola,31/08/2017,1.59,Trading Economics
Inflation Rate Mom,Angola,31/07/2017,1.69,Trading Economics
Inflation Rate Mom,Angola,30/06/2017,1.52,Trading Economics
Inflation Rate Mom,Angola,31/05/2017,1.6,Trading Economics
Inflation Rate Mom,Angola,30/04/2017,1.8,Trading Economics
Inflation Rate Mom,Angola,31/03/2017,1.91,Trading Economics
Inflation Rate Mom,Angola,28/02/2017,2.3,Trading Economics
Inflation Rate Mom,Angola,31/01/2017,2.25,Trading Economics
Inflation Rate Mom,Angola,31/12/2016,2.04,Trading Economics
Inflation Rate Mom,Angola,30/11/2016,2.29,Trading Economics
Inflation Rate Mom,Angola,31/10/2016,1.52,Trading Economics
Inflation Rate Mom,Angola,30/09/2016,2.14,Trading Economics
Inflation Rate Mom,Angola,31/08/2016,3.31,Trading Economics
Inflation Rate Mom,Angola,31/07/2016,4.26,Trading Economics
Inflation Rate Mom,Angola,30/06/2016,3.13,Trading Economics
Inflation Rate Mom,Angola,31/05/2016,3.31,Trading Economics
Inflation Rate Mom,Angola,30/04/2016,3.1,Trading Economics
Inflation Rate Mom,Angola,31/03/2016,3.25,Trading Economics
Inflation Rate Mom,Angola,29/02/2016,3.3,Trading Economics
Inflation Rate Mom,Angola,31/01/2016,3.32,Trading Economics
Inflation Rate Mom,Angola,31/12/2015,1.38,Trading Economics
Inflation Rate Mom,Angola,30/11/2015,1.19,Trading Economics
Inflation Rate Mom,Angola,31/10/2015,1.17,Trading Economics
Inflation Rate Mom,Angola,30/09/2015,1.08,Trading Economics
Inflation Rate Mom,Angola,31/08/2015,1,Trading Economics
Inflation Rate Mom,Angola,31/07/2015,1.14,Trading Economics
Inflation Rate Mom,Angola,30/06/2015,1.08,Trading Economics
Inflation Rate Mom,Angola,31/05/2015,1.03,Trading Economics
Inflation Rate Mom,Angola,30/04/2015,0.71,Trading Economics
Inflation Rate Mom,Angola,31/03/2015,0.52,Trading Economics
Inflation Rate Mom,Angola,28/02/2015,0.63,Trading Economics
Inflation Rate Mom,Angola,31/01/2015,0.53,Trading Economics
Inflation Rate Mom,Angola,31/12/2014,0.73,Trading Economics
Inflation Rate Mom,Angola,30/11/2014,0.53,Trading Economics
Inflation Rate Mom,Angola,31/10/2014,0.68,Trading Economics
Inflation Rate Mom,Angola,30/09/2014,0.63,Trading Economics
Inflation Rate Mom,Angola,31/08/2014,0.6,Trading Economics
Inflation Rate Mom,Angola,31/07/2014,0.61,Trading Economics
Inflation Rate Mom,Angola,30/06/2014,0.57,Trading Economics
Inflation Rate Mom,Angola,31/05/2014,0.62,Trading Economics
Inflation Rate Mom,Angola,30/04/2014,0.51,Trading Economics
Inflation Rate Mom,Angola,31/03/2014,0.51,Trading Economics
Inflation Rate Mom,Angola,28/02/2014,0.49,Trading Economics
Inflation Rate Mom,Angola,31/01/2014,0.76,Trading Economics
Inflation Rate Mom,Angola,31/12/2013,0.75,Trading Economics
Inflation Rate Mom,Angola,30/11/2013,0.52,Trading Economics
Inflation Rate Mom,Angola,31/10/2013,0.41,Trading Economics
Inflation Rate Mom,Angola,30/09/2013,0.5,Trading Economics
Inflation Rate Mom,Angola,31/08/2013,0.54,Trading Economics
Inflation Rate Mom,Angola,31/07/2013,0.52,Trading Economics
Inflation Rate Mom,Angola,30/06/2013,0.63,Trading Economics
Inflation Rate Mom,Angola,31/05/2013,0.87,Trading Economics
Inflation Rate Mom,Angola,30/04/2013,0.6,Trading Economics
Inflation Rate Mom,Angola,31/03/2013,0.66,Trading Economics
Inflation Rate Mom,Angola,28/02/2013,0.82,Trading Economics
Inflation Rate Mom,Angola,31/01/2013,0.61,Trading Economics
Inflation Rate Mom,Angola,31/12/2012,0.99,Trading Economics
Inflation Rate Mom,Angola,30/11/2012,0.93,Trading Economics
Inflation Rate Mom,Angola,31/10/2012,0.91,Trading Economics
Inflation Rate Mom,Angola,30/09/2012,0.55,Trading Economics
Inflation Rate Mom,Angola,31/08/2012,0.6,Trading Economics
Inflation Rate Mom,Angola,31/07/2012,0.66,Trading Economics
Inflation Rate Mom,Angola,30/06/2012,0.68,Trading Economics
Inflation Rate Mom,Angola,31/05/2012,0.65,Trading Economics
Inflation Rate Mom,Angola,30/04/2012,0.7,Trading Economics
Inflation Rate Mom,Angola,31/03/2012,0.6,Trading Economics
Inflation Rate Mom,Angola,29/02/2012,0.69,Trading Economics
Inflation Rate Mom,Angola,31/01/2012,0.73,Trading Economics
Inflation Rate Mom,Angola,31/12/2011,1.73,Trading Economics
Inflation Rate Mom,Angola,30/11/2011,0.86,Trading Economics
Inflation Rate Mom,Angola,31/10/2011,0.81,Trading Economics
Inflation Rate Mom,Angola,30/09/2011,0.76,Trading Economics
Inflation Rate Mom,Angola,31/08/2011,0.73,Trading Economics
Inflation Rate Mom,Angola,31/07/2011,0.75,Trading Economics
Inflation Rate Mom,Angola,30/06/2011,1.05,Trading Economics
Inflation Rate Mom,Angola,31/05/2011,0.98,Trading Economics
Inflation Rate Mom,Angola,30/04/2011,0.92,Trading Economics
Inflation Rate Mom,Angola,31/03/2011,0.78,Trading Economics
Inflation Rate Mom,Angola,28/02/2011,0.83,Trading Economics
Inflation Rate Mom,Angola,31/01/2011,0.63,Trading Economics
